Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Classifier,Precision,Recall,AUC,Kappa
AVRO,1,2.59%,87.38%,42.72%,No sampling,No Feature Selection,No cost sensitive,43.0,57.0,2.0,1.0,RandomForest,0.43,0.977,0.459,0.01,
AVRO,1,2.59%,87.38%,42.72%,No sampling,No Feature Selection,No cost sensitive,31.0,28.0,31.0,13.0,NaiveBayes,0.525,0.705,0.608,0.22,
AVRO,1,2.59%,87.38%,42.72%,No sampling,No Feature Selection,No cost sensitive,44.0,58.0,1.0,0.0,IBk,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,No sampling,No Feature Selection,Sensitive Threshold,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,No sampling,No Feature Selection,Sensitive Threshold,40.0,53.0,6.0,4.0,NaiveBayes,0.43,0.909,0.505,0.009,
AVRO,1,2.59%,87.38%,42.72%,No sampling,No Feature Selection,Sensitive Threshold,44.0,58.0,1.0,0.0,IBk,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,No sampling,No Feature Selection,Sensitive Learning,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.522,0.015,
AVRO,1,2.59%,87.38%,42.72%,No sampling,No Feature Selection,Sensitive Learning,38.0,38.0,21.0,6.0,NaiveBayes,0.5,0.864,0.608,0.201,
AVRO,1,2.59%,87.38%,42.72%,No sampling,No Feature Selection,Sensitive Learning,44.0,58.0,1.0,0.0,IBk,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,No sampling,Best first,No cost sensitive,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.473,0.015,
AVRO,1,2.59%,87.38%,42.72%,No sampling,Best first,No cost sensitive,44.0,59.0,0.0,0.0,NaiveBayes,0.427,1.0,0.715,0.0,
AVRO,1,2.59%,87.38%,42.72%,No sampling,Best first,No cost sensitive,44.0,58.0,1.0,0.0,IBk,0.431,1.0,0.476,0.015,
AVRO,1,2.59%,87.38%,42.72%,No sampling,Best first,Sensitive Threshold,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,No sampling,Best first,Sensitive Threshold,44.0,59.0,0.0,0.0,NaiveBayes,0.427,1.0,0.5,0.0,
AVRO,1,2.59%,87.38%,42.72%,No sampling,Best first,Sensitive Threshold,44.0,58.0,1.0,0.0,IBk,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,No sampling,Best first,Sensitive Learning,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.484,0.015,
AVRO,1,2.59%,87.38%,42.72%,No sampling,Best first,Sensitive Learning,44.0,59.0,0.0,0.0,NaiveBayes,0.427,1.0,0.715,0.0,
AVRO,1,2.59%,87.38%,42.72%,No sampling,Best first,Sensitive Learning,44.0,58.0,1.0,0.0,IBk,0.431,1.0,0.476,0.015,
AVRO,1,2.59%,87.38%,42.72%,oversampling,No Feature Selection,No cost sensitive,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.478,0.015,
AVRO,1,2.59%,87.38%,42.72%,oversampling,No Feature Selection,No cost sensitive,31.0,26.0,33.0,13.0,NaiveBayes,0.544,0.705,0.602,0.254,
AVRO,1,2.59%,87.38%,42.72%,oversampling,No Feature Selection,No cost sensitive,44.0,58.0,1.0,0.0,IBk,0.431,1.0,0.414,0.015,
AVRO,1,2.59%,87.38%,42.72%,oversampling,No Feature Selection,Sensitive Threshold,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,oversampling,No Feature Selection,Sensitive Threshold,35.0,33.0,26.0,9.0,NaiveBayes,0.515,0.795,0.618,0.221,
AVRO,1,2.59%,87.38%,42.72%,oversampling,No Feature Selection,Sensitive Threshold,44.0,58.0,1.0,0.0,IBk,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,oversampling,No Feature Selection,Sensitive Learning,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.511,0.015,
AVRO,1,2.59%,87.38%,42.72%,oversampling,No Feature Selection,Sensitive Learning,33.0,30.0,29.0,11.0,NaiveBayes,0.524,0.75,0.602,0.229,
AVRO,1,2.59%,87.38%,42.72%,oversampling,No Feature Selection,Sensitive Learning,44.0,58.0,1.0,0.0,IBk,0.431,1.0,0.414,0.015,
AVRO,1,2.59%,87.38%,42.72%,oversampling,Best first,No cost sensitive,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,oversampling,Best first,No cost sensitive,36.0,28.0,31.0,8.0,NaiveBayes,0.563,0.818,0.711,0.325,
AVRO,1,2.59%,87.38%,42.72%,oversampling,Best first,No cost sensitive,44.0,59.0,0.0,0.0,IBk,0.427,1.0,0.398,0.0,
AVRO,1,2.59%,87.38%,42.72%,oversampling,Best first,Sensitive Threshold,44.0,59.0,0.0,0.0,RandomForest,0.427,1.0,0.5,0.0,
AVRO,1,2.59%,87.38%,42.72%,oversampling,Best first,Sensitive Threshold,44.0,59.0,0.0,0.0,NaiveBayes,0.427,1.0,0.5,0.0,
AVRO,1,2.59%,87.38%,42.72%,oversampling,Best first,Sensitive Threshold,44.0,59.0,0.0,0.0,IBk,0.427,1.0,0.5,0.0,
AVRO,1,2.59%,87.38%,42.72%,oversampling,Best first,Sensitive Learning,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.525,0.015,
AVRO,1,2.59%,87.38%,42.72%,oversampling,Best first,Sensitive Learning,44.0,59.0,0.0,0.0,NaiveBayes,0.427,1.0,0.711,0.0,
AVRO,1,2.59%,87.38%,42.72%,oversampling,Best first,Sensitive Learning,44.0,59.0,0.0,0.0,IBk,0.427,1.0,0.398,0.0,
AVRO,1,2.59%,87.38%,42.72%,undersampling,No Feature Selection,No cost sensitive,43.0,58.0,1.0,1.0,RandomForest,0.426,0.977,0.478,-0.005,
AVRO,1,2.59%,87.38%,42.72%,undersampling,No Feature Selection,No cost sensitive,38.0,40.0,19.0,6.0,NaiveBayes,0.487,0.864,0.601,0.169,
AVRO,1,2.59%,87.38%,42.72%,undersampling,No Feature Selection,No cost sensitive,42.0,58.0,1.0,2.0,IBk,0.42,0.955,0.486,-0.025,
AVRO,1,2.59%,87.38%,42.72%,undersampling,No Feature Selection,Sensitive Threshold,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.508,0.015,
