Version name,File name,Size,NR,NAuth,LOCTouched,LOCAdded,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,bugginess
1.0.0,src/java/org/apache/avro/ipc/ByteBufferValueReader.java,0,5,1,164,82,41,16,0,41,0,NO
1.0.0,src/java/org/apache/avro/ipc/ByteBufferValueWriter.java,0,5,1,176,88,44,18,0,44,0,NO
1.0.0,src/test/java/org/apache/avro/TestFsData.java,139,7,1,459,299,134,43,139,134,20,NO
1.0.0,JsonSchema.java,0,4,1,544,272,136,68,0,136,0,NO
1.0.0,JsonSchemaWalker.java,0,4,1,448,224,112,56,0,112,0,NO
1.0.0,src/test/java/org/apache/avro/test/TestInvocationReporter.java,0,2,1,70,35,35,18,0,35,0,NO
1.0.0,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,0,2,1,78,39,39,20,0,39,0,NO
1.0.0,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,0,2,1,78,39,39,20,0,39,0,NO
1.0.0,src/java/org/apache/avro/io/ParsingTable.java,0,2,1,766,383,383,192,0,383,0,NO
1.0.0,src/java/org/apache/avro/io/ResolvingTable.java,0,2,1,978,489,489,245,0,489,0,NO
1.0.0,src/test/java/org/apache/avro/io/TestParsingTable.java,0,3,1,444,222,205,74,0,205,0,NO
1.0.0,src/test/java/org/apache/avro/io/TestResolvingTable.java,0,3,1,812,406,389,135,0,389,0,NO
1.0.0,lang/java/avro/src/main/java/org/apache/avro/AvroRuntimeException.java,25,4,1,73,49,24,12,25,24,6,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/AvroTypeException.java,26,5,1,88,57,28,11,26,28,5,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/Protocol.java,335,15,1,1122,729,300,49,335,300,22,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/Schema.java,723,20,1,2171,1448,451,72,723,451,36,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/SchemaParseException.java,25,4,1,73,49,24,12,25,24,6,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader.java,215,7,1,677,447,208,64,215,208,31,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/file/DataFileWriter.java,201,8,1,601,402,183,50,201,183,25,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/file/SeekableFileInput.java,35,4,1,101,68,32,17,35,32,9,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/file/SeekableInput.java,37,5,1,119,78,36,16,37,36,7,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericArray.java,37,6,1,115,76,37,13,37,37,6,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericContainer.java,27,1,1,27,27,27,27,27,27,27,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericData.java,429,13,1,997,713,250,55,429,250,33,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumReader.java,458,19,1,1769,1117,265,59,458,265,24,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumWriter.java,182,12,1,808,496,164,41,182,164,15,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericFixed.java,24,2,1,26,25,24,13,24,24,12,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericRecord.java,24,5,1,94,59,28,12,24,28,5,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/io/BinaryData.java,192,3,1,370,281,190,94,192,190,64,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/io/BinaryDecoder.java,301,4,1,315,308,305,77,301,305,75,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/io/BinaryEncoder.java,251,3,1,287,269,266,90,251,266,84,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/io/BlockingBinaryEncoder.java,628,4,1,642,635,622,159,628,622,157,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/io/DatumReader.java,38,5,1,124,81,39,16,38,39,8,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/io/DatumWriter.java,36,6,1,116,76,36,13,36,36,6,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/io/Decoder.java,273,10,1,1198,737,416,74,273,332,27,YES
