Version name,File name,Size,NR,NAuth,LOCTouched,LOCAdded,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,bugginess
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,70,4,2,347,209,137,52,70,137,18,YES
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,370,7,3,898,635,283,91,370,252,53,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,3,2,64,56,48,19,48,48,16,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,2,2,71,67,63,34,63,63,32,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,318,5,3,368,343,237,69,318,237,64,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,136,4,3,148,142,133,36,136,133,34,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,141,5,3,167,154,136,31,141,136,28,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,190,4,3,202,196,176,49,190,176,48,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,2,2,48,47,46,24,46,46,23,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,162,6,3,227,195,127,33,162,127,27,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,162,4,3,168,165,148,41,162,148,41,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,2,2,60,59,58,30,58,58,29,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,3,3,174,162,149,54,149,149,50,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,2,2,82,78,74,39,74,74,37,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37,1,1,37,37,37,37,37,37,37,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,2,2,42,40,38,20,38,38,19,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39,2,2,41,40,39,20,39,39,20,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,4,2,118,107,95,27,96,95,24,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88,3,2,94,91,87,30,88,87,29,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,71,4,2,85,78,70,20,71,70,18,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,342,7,3,570,456,329,65,342,329,49,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84,4,2,102,93,83,23,84,83,21,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,129,5,3,145,137,122,27,129,122,26,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,242,6,3,268,255,224,43,242,224,40,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,660,8,3,848,754,585,94,660,585,83,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,366,6,3,416,391,365,65,366,365,61,YES
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,41,1,1,41,41,41,41,41,41,41,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,65,2,2,92,79,65,40,65,65,33,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,63,4,3,65,64,45,16,63,45,16,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,47,2,2,55,51,47,26,47,47,24,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183,4,3,223,203,185,51,183,185,46,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,49,1,1,49,49,49,49,49,49,49,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50,1,1,50,50,50,50,50,50,50,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,98,2,2,102,100,97,50,98,97,49,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,143,2,2,143,143,138,72,143,138,72,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,43,1,1,43,43,43,43,43,43,43,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42,1,1,42,42,42,42,42,42,42,NO
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,2,2,62,59,56,30,56,56,28,NO
4.0.0,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,51,2,2,53,52,51,26,51,51,26,NO
4.0.0,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,41,1,1,41,41,41,41,41,41,41,NO
4.0.0,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,104,2,2,118,111,104,56,104,104,52,NO
4.0.0,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,54,1,1,54,54,54,54,54,54,54,NO
4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,162,2,2,164,163,162,82,162,162,81,YES
4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,153,2,2,157,155,153,78,153,153,77,NO
4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,43,2,2,45,44,43,22,43,43,22,NO
4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,41,2,2,43,42,41,21,41,41,21,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,105,3,2,207,156,104,52,105,104,35,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,104,5,3,191,148,103,30,104,103,21,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,92,4,3,160,126,91,32,92,91,23,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,101,3,2,201,151,100,50,101,100,34,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,45,1,1,45,45,45,45,45,45,45,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,299,4,3,305,302,289,76,299,289,75,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,32,3,3,40,36,31,12,32,31,11,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,111,1,1,111,111,111,111,111,111,111,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35,2,2,37,36,35,18,35,35,18,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,85,2,2,85,85,81,43,85,81,43,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,27,1,1,27,27,27,27,27,27,27,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,28,1,1,28,28,28,28,28,28,28,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,36,4,3,38,37,29,9,36,29,9,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,574,6,3,648,611,561,102,574,561,96,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,67,3,3,99,83,64,28,67,64,22,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,29,2,2,31,30,29,15,29,29,15,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,72,3,3,74,73,64,24,72,64,24,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,37,2,2,43,40,37,20,37,37,19,NO
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,77,3,3,99,88,68,29,77,68,26,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,168,4,3,190,179,153,45,168,153,42,YES
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,80,3,3,85,83,72,28,80,72,27,YES
